USID,n3r,n5r,ndr,ndv
224595,-0.039012739,-0.023089172,-0.006329114,1309100
82752,-0.025714286,0,0.029411765,782300
116754,0.044025157,0.018867925,0.019230769,828000
168830,0.022263451,0.042671614,0.046601942,220300
210902,-0.017075774,-0.004268943,0.056369786,184200
98079,-0.021344718,-0.021344718,0.016268981,308500
206528,-0.040640394,-0.081280788,0.022670025,21849700
201209,-0.03236246,-0.029126214,0.059428571,802300
225399,-0.07239819,-0.076923077,0.041224971,3117600
198365,0.026506024,0.007228916,-0.011904762,94800
171720,0.060836502,0.007604563,-0.474,18529800
185923,-0.042016807,0.016806723,0.017094017,1632700
138139,-0.099071207,-0.083591331,0.045307443,2618900
211295,0.002717391,-0.005434783,0.115151515,903500
54437,0.076190449,0.035374122,0.057553957,2273800
181998,0.022727273,0.079545455,0.035294118,504800
25285,0.029654093,0.036243934,0.017887089,1004000
218342,-0.045680238,-0.04468719,0.11517165,154800
147386,0.191780822,0.219178082,0.013888889,165600
52194,-0.029296875,-0.02734375,0.011857748,30800
82,-0.040848806,0.013793156,0.050139217,578500
224456,-0.028929605,-0.006750241,0.004844961,177200
145479,0.06918239,0.062893082,0.029126214,717600
54638,-0.030379747,0.020253165,0.015424165,7335300
27592,0.008756568,0.015761857,0.001754351,430800
145450,0.023904382,0.043824701,0.100877193,728200
157824,-0.057801406,-0.070636489,-0.011905832,1448900
215841,0.085164776,0.082417578,0.016759832,228500
166383,-0.035123967,0.030991736,0.008333333,15306900
164259,-0.083785413,0.001205606,-0.066404052,412100
110035,0.065217391,0.072463768,0.061538462,1070300
106841,-0.079754601,-0.026584867,0.081858407,261600
211293,0.106312292,0.106312292,-0.085106383,1165200
6198,0.015128226,0.025277632,0.01162348,139700
25954,0.070921986,-0.005319149,-0.064676617,622400
110034,0.107692308,0.123076923,-0.097222222,1943400
225274,-0.042857143,-0.028571429,0.004784689,1524000
208611,0.015455951,-0.00309119,0.030254777,2139400
52185,0.018181818,-0.018181818,-0.026548673,53100
190318,-0.018594274,0.017106769,0.026335801,2208700
195399,0.029850746,0.014925373,0.015151515,75900
202430,0.045454545,-0.044155844,0.063535912,1378700
103586,0.021276596,0.018439716,-0.007042254,670200
222258,0.053892216,0.107784431,-0.021961933,2919500
193873,0.003030242,0.007575758,-0.013452944,4274700
212933,-0.001865718,0.104944025,0.019495957,1001800
186193,0.075907591,0.053905391,0.031782066,2336000
75274,0.012722646,-0.065648804,-0.008076679,810300
157901,0.028301887,-0.088050314,0.012738854,276700
92943,0.016304348,0.032608696,0.051428571,5979300
191967,0.082406736,0.039241334,0.015272244,11286700
64725,-0.037037037,-0.011111111,0.007462687,181200
75273,0,-0.045431552,-0.154141802,1226300
121415,0.128205128,0.064102564,-0.048780488,1035800
225847,-0.016731017,-0.036036036,0.048582996,324200
42045,0.037735849,0.161103048,0.013235294,248300
179689,0.00652534,-0.003806362,0.030252045,4286700
195253,0.061349693,0.067484663,-0.029761905,282000
38734,-0.025757576,-0.053030303,-0.0625,569900
92942,0.074285714,0.08,-0.088541667,6005300
168380,0.079545424,0.068181731,-0.00508762,256200
59892,0.094289509,0.13147417,-0.02901354,391400
190349,-0.035225049,-0.009784736,-0.05893186,231200
201638,-0.019417476,-0.009708738,0.016447368,243800
222081,0.07635468,0.103448276,0.002469136,153500
45228,0.0625,0.0546875,-0.015384615,163300
214922,0.005714286,0.02,0.011560752,130100
140067,0.032608696,0.026086957,-0.023354565,503500
210900,0.003484321,-0.029036005,0.007017544,353200
169502,0.043715847,0.049180328,0.016666667,52800
170478,0.091173519,0.060994445,-0.044056308,6747100
95040,-0.129251701,-0.040816327,-0.032894737,103600
190348,-0.119705341,-0.051565378,0.079522863,425200
134769,0.067669173,0.139097744,-0.014814815,178900
124213,0.02559727,0.026962492,-0.011804418,15300
187205,-0.075989254,-0.056205036,-0.009354164,5541900
174187,-0.113728129,-0.111036339,0.140445127,39523500
147384,0.032258065,-0.016129032,-0.03125,184100
56981,0.011695906,-0.046783626,-0.030245747,12703300
25710,-0.046413502,-0.029535865,-0.044354839,265400
195964,0.071005917,0.124260355,-0.028735632,50000
121801,-0.064930523,-0.119791636,0.008756568,655000
211487,-0.071942446,-0.078177506,-0.010910816,4597600
124694,0,0.063380282,0.03649635,24900
147383,0.03125,0,-0.085714286,269600
209638,0.070510933,0.019420316,0.033982145,953200
179877,-0.008024753,-0.003086481,-0.006134847,613400
182984,0.016721044,0.003262643,0.008223684,3718500
60147,0.005025126,0.050251256,-0.014851485,402000
56980,-0.081285444,-0.04536862,-0.863554295,8255400
181997,-0.055865922,-0.106145251,-0.052910053,339000
38868,-0.036697204,0.036697295,-0.002288375,24700
88696,-0.021428571,-0.047142857,-0.003558719,76300
201303,0.004621072,-0.010166359,0.025592417,5029300
168640,0.007692308,0.021719457,-0.038712484,241500
90322,0.035087719,-0.005012531,-0.009925558,60500
185736,-0.006864989,0.016018307,-0.024553571,2221500
179972,-0.058309038,-0.029154519,-0.033802817,157100
176657,0.037037037,0.037037037,-0.052631579,778400
191871,-0.059190031,-0.040498442,-0.058651026,668000
224063,-0.004897551,0.008904764,-0.02559653,734700
3295,-0.034005038,-0.070529009,0.019691737,116800
134319,-0.084210526,-0.042105263,-0.01384083,701000
110033,-0.281767956,-0.248618785,-0.010928962,743700
187222,0.061821802,0.073331108,-0.047305764,5101600
132465,0.043478261,0.086956522,-0.014285714,216400
36377,0.114754098,0.131147541,-0.046875,995000
195398,-0.069444444,-0.055555556,-0.033557047,102900
71888,0.016441455,-0.05402231,0.009484291,7641600
210899,-0.134819533,-0.082802548,-0.008421053,268500
208426,-0.102564103,-0.121794872,0.016286645,752500
2698,0.003047529,0.00021773,0.012786552,9967100
194660,0,-0.003034992,-0.014947683,111900
121800,-0.024518355,-0.123992964,-0.229211711,2813700
43799,-0.060537097,-0.00204827,-0.066496728,1371800
8007,-0.114563107,-0.127184466,-0.007707129,199700
206993,-0.045112782,0,-0.007462687,3300300
172839,-0.09375,-0.03125,0,202600
198729,0.042826147,0.030177051,0.012255387,16817700
6542,-0.009859099,0.002816845,0.030478925,1344400
89256,-0.026973027,-0.008991009,0.027720739,182700
66695,-0.023529412,-0.047058824,0.011904762,447400
216366,-0.039724321,-0.056749088,-0.008041857,5662000
200402,0.02,0.04,0.041666667,1275300
137113,0.018400951,0.023318543,-0.015153897,756100
91814,-0.032017076,-0.029882604,-0.006362672,1502700
151351,-0.058802975,-0.043052153,0.00563182,1099500
6197,-0.056198386,0.078925617,0.008333375,29100
213546,-0.111524164,-0.11771995,0.074567244,1425800
90321,-0.042183623,-0.012406948,0.101092896,335100
185735,-0.060267857,-0.024553571,0.160621762,3507700
181374,-0.002955665,0.007881773,0.051813472,87900
205370,0.004796163,0.076738609,-0.007142857,542900
98506,0.018206339,0.10856379,-0.01330672,10486100
75814,-0.009523867,-0.041558512,0.006682264,3593600
38867,-0.04576659,0.00228833,0.156084656,153600
211579,-0.067164179,-0.032338308,0.020304569,3900600
4360,-0.037422037,-0.011781012,-0.039280959,127600
185569,0.08557047,0.098993289,-0.005008347,309900
181522,-0.016853877,-0.008426911,0.002816845,1568200
212796,-0.081730769,-0.144230769,0,1391800
212932,-0.103962425,-0.09544095,-0.052482883,1645500
184292,-0.052631579,-0.033180778,-0.017977528,30509300
165688,0.019760503,0.026946108,0.007845528,173300
