USID,LatestCloseAsPercentOf10DayAverage,LatestCloseAsPercentOf10WeekAverage,LatestCloseAsPercentOf200DayAverage
48429,108.6245,107.2556,88.3031
198867,110.2197,116.7282,111.2314
86314,68.1004,67.1717,60.3316
39851,111.5285,118.7469,118.8932
39826,105.9028,88.1412,46.7492
19312,106.5246,104.7736,120.0426
76122,124.9677,137.5077,135.6113
58394,99.8626,112.1028,109.2506
22927,110.1331,118.5132,126.9769
137674,107.671,119.8161,179.9509
148743,115.788,124.8853,113.9319
96103,106.9285,125.7974,149.6802
102409,100.9772,115.0779,144.5845
151764,110.1353,122.2497,136.3168
152467,119.1719,135.4492,176.6853
224613,110.1957,114.9024,131.1638
88714,107.0819,119.4959,77.4899
178899,131.8777,176.2926,151.3595
109424,102.3714,94.2544,60.8848
106842,114.7618,121.6294,107.6766
184714,104.2612,110.3285,125.9887
98507,99.576,89.3632,92.0549
171698,90.3244,83.411,94.3144
211294,102.9764,104.1302,111.1747
194053,100.6618,127.9339,152.3241
110009,105.6639,100.1368,76.0788
140344,111.9821,125.6536,184.5643
100080,102.0934,110.8075,128.2837
2589,75.882,71.7007,71.933
63348,92.1105,87.0961,92.3421
6194,112.0332,121.6664,137.403
59893,95.9888,106.8169,141.1522
212797,93.7335,104.8746,98.2573
199245,91.7441,102.7434,116.9635
173919,106.0436,124.9765,146.4444
152466,110.2994,123.5806,160.4625
183605,100.1665,60.438,38.1158
145451,121.6085,130.1922,127.8938
108300,88.3929,93.5849,88.3512
144176,103.0458,90.1363,77.4528
119173,100.0888,110.5247,117.357
19287,93.5778,95.9222,109.4599
201178,111.1213,112.983,120.1714
145479,88.3867,89.2506,127.0993
54638,58.6993,49.7741,45.8839
27592,118.0369,136.6799,157.3677
145450,113.4893,118.9878,116.5095
157824,118.926,109.4207,93.2299
215841,105.9799,100.4996,93.9956
166383,82.538,65.7057,67.8306
164259,119.5908,138.5884,177.6054
110035,80.0986,83.1376,43.4113
106841,108.9419,112.8848,99.5929
211293,112.7485,114.018,121.5547
6198,114.2541,131.7084,152.9133
25954,114.879,104.1377,84.9921
110034,88.0734,91.0499,47.7889
225274,90.0086,105.6688,127.5689
208611,101.8654,138.7376,133.8862
52185,115.6602,119.6905,131.4891
190318,96.5116,109.8956,101.6747
195399,97.7054,88.4912,89.5284
202430,97.8775,132.2054,95.752
103586,110.2656,94.3739,89.4759
222258,91.1761,108.8145,106.4534
193873,120.8017,133.7301,135.0702
212933,101.3641,129.3634,116.0897
186193,95.6154,115.0989,117.9021
75274,77.5555,75.7955,78.3409
157901,88.376,91.579,81.3455
92943,63.4518,60.4887,52.5852
191967,97.8876,121.3019,152.2258
64725,88.5073,84.4599,90.5788
75273,89.5431,88.8963,92.6671
121415,87.7944,51.6785,29.3642
225847,89.3094,60.8222,41.3479
42045,97.6591,89.289,86.784
179689,107.7573,109.6919,85.2831
195253,93.9597,89.1855,76.0363
38734,98.9737,113.1944,96.0551
92942,66.436,65.7976,57.5386
168380,95.1069,108.9868,122.2649
59892,86.7984,102.1918,134.3136
190349,134.4609,128.1489,114.8319
201638,82.3402,99.2339,105.2723
222081,78.7631,82.9467,100.4016
45228,115.3846,126.6234,118.2687
214922,91.7042,95.3479,143.5146
140067,96.26,99.5385,98.2294
210900,106.2904,125.2766,110.468
169502,114.7228,115.6145,129.5859
170478,92.7302,93.5537,86.8566
95040,100.0658,105.7384,80.6619
190348,129.3719,118.7338,106.7187
134769,91.7431,89.1269,71.6171
124213,111.5458,121.666,120.1797
187205,91.4386,91.9582,105.2308
174187,211.9044,253.3209,321.8635
147384,94.5347,104.1307,78.877
56981,16.5044,14.7094,11.0877
25710,93.3032,100.3245,150.3208
195964,91.7238,94.4186,119.8256
